,0
94,(-127.78343259560219-3.667192015394062e-15j)
95,(-122.72570997974712-3.56136536546387e-15j)
96,(-124.48611019423274-1.2110852874579843e-14j)
97,(-125.5525983354516+1.0317749136998197e-15j)
98,(-110.35527611580606+1.0658141036401503e-14j)
99,(-110.35527611580616+8.881784197001252e-16j)
100,(-143.7942732652542-1.776327631093519e-15j)
101,(-143.79427326525405+5.585809592645319e-15j)
102,(-113.28297332180846+4.4408921214292344e-15j)
103,(-113.2829733218084+2.2065682614424986e-15j)
104,(-142.02775317871198+5.77315973161396e-15j)
105,(-142.02775317871152-4.937023012629993e-15j)
106,(-139.42195050900676+8.881784196576301e-16j)
107,(-139.42195050900628-2.0975408909773563e-14j)
108,(-137.78616780245858+1.2434496573717526e-14j)
109,(-137.78616780245844-4.447830992404533e-15j)
110,(-118.70471980364572-5.671083698884333e-15j)
111,(-118.7047198036458+4.740942296878911e-15j)
112,(-121.6324170096478-5.293830935648383e-15j)
113,(-133.41384504621146+7.881611294507182e-15j)
114,(-133.41384504621072-5.387468357716252e-17j)
115,(-121.63241700964808-4.559670893651296e-16j)
116,(-123.07704255989344+1.3569446129412226e-15j)
117,(-131.07250682116705-1.9428902935745531e-16j)
118,(-131.07250682116677-8.776294713750202e-16j)
119,(-130.24632514214872+1.1993392874361926e-22j)
120,(-130.24632514214863+3.406996906818449e-15j)
121,(-123.07704255989334+2.600203722859526e-16j)
122,(-127.31862793614634+5.329096358305839e-15j)
123,(-127.31862793614647-1.6965595595053173e-14j)
124,(-125.06440135837154+1.3322407339937036e-15j)
125,(-125.06440135837121-1.1109169140155473e-14j)
126,(-126.00473976589588+3.5527136134007094e-15j)
127,(-126.00473976589566-5.440092820663267e-15j)
128,(7.375175936516365e-15+4.868639020158191e-16j)
129,(-237.55016172742157-1.8335246842788823e-16j)
130,(-147.87365143075735-4.1202193574100764e-15j)
131,(-150.38456290599473-1.9035809222094368e-16j)
132,(-230.56078129515345+1.0123242771944752e-15j)
133,(-227.22832177044134-3.2838369779952427e-16j)
134,(-156.29815585727513-8.690060788553424e-15j)
135,(-219.94225319855286+3.604401619632551e-15j)
136,(-160.25727005927922+4.1988543953503315e-15j)
137,(-163.38986602538125+4.279336280418035e-15j)
138,(-164.46295483038648-7.605501406703209e-15j)
139,(-167.05907181495178-1.1722222494683204e-14j)
140,(-215.32311006620648-6.3044847343410804e-15j)
141,(-169.20774484587642+1.2860417000649867e-14j)
142,(-171.3498377605521-9.564235980010953e-15j)
143,(-211.8668514696511-4.180358616682493e-15j)
144,(-173.77506469759868-1.1108664599949063e-14j)
145,(-209.37260507291427-9.34302858660688e-15j)
146,(-175.69202668674998+9.35916910407368e-16j)
147,(-176.42519063128404-2.710343304321486e-15j)
148,(-206.1405204874819-3.179691408870714e-15j)
149,(-207.2174571952442+9.037245447970148e-16j)
150,(-179.50570030693223+1.9618092539904326e-14j)
151,(-181.74509429976692+2.8565987039015934e-15j)
152,(-202.73528704491687+2.3677356715462826e-15j)
153,(-184.30978822566055-3.739659957194865e-15j)
154,(-199.77571483148063-5.624565975158701e-15j)
155,(-187.03006728084316-3.4315161936531226e-16j)
156,(-169.97260944936207+1.4210854150113416e-14j)
157,(-169.9726094493613-1.4055434333776207e-14j)
158,(-197.11322662843506+4.208030181838297e-15j)
159,(-195.91728683687936+8.867585802495365e-16j)
160,(-192.29914967598498-3.885795202648766e-15j)
161,(-211.32043705893778+1.1159478027993494e-14j)
162,(-211.32043705893867-3.6026061499979784e-15j)
163,(-190.96184008374956+3.228466285568174e-17j)
164,(-207.17288346015604-1.0341161566068662e-14j)
165,(-207.17288346015513-2.848923354700036e-14j)
166,(-178.19381105103977-1.064515276412533e-14j)
167,(-178.19381105103997+9.095615970469706e-15j)
168,(-180.0194821404522-1.110611237696102e-14j)
169,(-180.01948214045234-2.7998436902265667e-15j)
170,(-180.35015172580998-3.3311850202278172e-15j)
