,0
93,(9.939801052854986e-16+1.1449433326420565e-16j)
94,(-1.0759319717742276e-15-5.0157950383767054e-17j)
95,(1.5180068092264515e-16-4.2212809916232955e-17j)
96,(4.847502496185643e-18+9.23698092224263e-18j)
97,(8.60599300672622e-16+1.4733234083608705e-17j)
98,(-3.571208082999322e-15-4.640023533417627e-18j)
99,(-6.567567356567262e-16+1.4062153791787705e-16j)
100,(-1.194436314153387e-15-1.864329881709687e-16j)
101,(-3.1160641468827373e-16-3.5668472300517673e-17j)
102,(1.248061780164549e-15-2.9553938371404316e-17j)
103,(5.229971461032422e-15-1.884043639223185e-17j)
104,(2.028423665057089e-16+8.233403493788742e-18j)
105,(4.60284432957215e-16+5.637605711264276e-17j)
106,(8.260106171372785e-16-3.19725491306978e-17j)
107,(1.364892899062814e-16-3.791292844957986e-19j)
108,(2.060884499507927e-15-1.7975247426051837e-16j)
109,(-5.737249693881892e-17-5.776166458065586e-17j)
110,(1.9178846220203993e-15+3.3523315354215135e-19j)
111,(-1.7470434800770313e-15+4.45812466685543e-18j)
112,(3.882129240971412e-16-2.6216527338428523e-17j)
113,(-4.193532942766612e-16+2.0610734608566763e-17j)
114,(9.39383549352116e-16-5.576955596008035e-17j)
115,(1.2566497243716634e-16+2.0815882335737593e-17j)
116,(3.1330986343141338e-15-1.9352126603356923e-17j)
117,(4.260603053287134e-15-2.299555986227176e-17j)
118,(-6.35161532272482e-16+3.020896323418605e-19j)
119,(6.897901339015984e-16+5.0802298635299205e-17j)
120,(2.180507696899131e-16-4.144982804562869e-19j)
121,(5.962802361118528e-16+3.3823495875180247e-17j)
122,(-1.3135114826962852e-15+1.4193449726048862e-16j)
123,(8.246494611358901e-16-3.178714165253863e-17j)
124,(5.347887521069494e-16+1.084054943327227e-16j)
125,(1.054401528568115e-15+4.646157751660881e-17j)
126,(-6.871481914169983e-16-7.51792827465459e-17j)
127,(-5.860926619035422e-16+2.543858695044645e-18j)
128,(3.444648998161814e-16-8.112433227756812e-18j)
129,(-1.7476393552060405e-15-7.524301098608803e-17j)
130,(8.441872591530128e-16-6.413429538641319e-19j)
131,(-1.0172491636047006e-15+7.778517674725054e-18j)
132,(1.4053452829847173e-15-2.4383282629542256e-17j)
133,(-2.566183909127528e-16+4.804867877403236e-19j)
134,(-1.1752099724592124e-15-4.4077107484809264e-18j)
135,(-2.8058105583999893e-16+3.419527047573486e-17j)
136,(-1.3763582877500918e-15+6.763864806413982e-17j)
137,(-5.412609421802029e-16+3.7085018903003997e-17j)
138,(-4.8804530780122986e-15+3.9631495538579676e-17j)
139,(2.0091567970305876e-16+2.444011713187544e-17j)
140,(-1.8801532532605556e-15+1.1130720980843457e-17j)
141,(8.9474981672718e-16-2.084126341478595e-17j)
142,(3.5653846318009627e-16-8.767191339156044e-17j)
143,(-2.8800211657962616e-15+5.254439420752245e-17j)
144,(-5.693742610545886e-15-9.616102262803827e-17j)
145,(7.504893202982159e-16+4.8177563116391255e-17j)
146,(-3.298721300035387e-16-4.304624922695413e-18j)
147,(2.8763964094207677e-16+5.812290462957197e-17j)
148,(-1.6275692378467863e-15-1.2393102208540418e-16j)
149,(2.8555996119474303e-15+1.6724979044121292e-17j)
150,(-1.1100663611150164e-15+8.029625068473502e-17j)
151,(-1.1642617317858783e-15-2.6584083931937564e-17j)
152,(-1.9924956989098344e-15+7.271628988925795e-17j)
153,(-6.319266442962791e-16+5.335812628332411e-17j)
154,(4.63632875219601e-16+6.766960950963026e-17j)
155,(-8.022847820500361e-17+7.831857876302903e-17j)
156,(2.908632309449028e-16-4.8093792849171404e-17j)
157,(-3.741381009305737e-16+2.779772027045106e-17j)
158,(-3.4739336737558135e-16-6.375199222739846e-17j)
159,(8.198136886182546e-16+2.5914664226215462e-17j)
160,(-2.950411360616182e-15-4.958074502650719e-17j)
161,(-8.392403615058693e-16+9.125110422615494e-17j)
162,(-9.663080534555639e-16+1.2475543972174224e-17j)
163,(1.0247775652033677e-15+4.111305528829528e-17j)
164,(-1.459134093546524e-15-7.390431942727424e-17j)
165,(4.058235605938407e-16+5.0593168424491594e-17j)
166,(-1.3334731391686126e-15-1.927336238997844e-17j)
167,(-5.176907303712471e-15-7.941583238724684e-17j)
168,(-2.1024003822154039e-16+3.4795412501301534e-17j)
169,(-1.4470500386032978e-15+1.8400187245146572e-17j)
170,(2.6978116459504023e-15+3.919925617332955e-17j)
171,(7.437361565911698e-16+4.411960640193649e-17j)
172,(4.7905300447810826e-15-2.2962025301671177e-17j)
173,(-2.013786220521249e-18-1.0416986310410445e-18j)
174,(-1.431694100424585e-15+1.7391902933318266e-17j)
175,(7.04796761582674e-16-2.3490805182629432e-17j)
176,(6.572594781950947e-17+1.1895675437994069e-17j)
177,(-6.556673123159511e-15-1.0523151398857319e-16j)
178,(8.127648861584226e-16-6.129211174205701e-17j)
179,(-6.409195518600761e-16-3.1412530838419035e-17j)
180,(-5.20732724282911e-16-2.7225906578966622e-17j)
181,(-3.965761682105453e-16+6.071874634084047e-17j)
182,(-1.0603163483684685e-15+2.529849218541615e-17j)
183,(2.478511642038205e-15-8.7936154205221e-17j)
184,(6.793875903698789e-15+1.902606196648752e-17j)
185,(2.8427885567791725e-16+5.153173559417911e-17j)
186,(2.446926924208917e-16+2.1662526137942778e-17j)
187,(-4.105469666169004e-16+4.545681114857746e-17j)
188,(1.5737281839521063e-15+7.507540594944934e-17j)
189,(-1.1601515329259165e-15+5.955975393597341e-18j)
190,(6.070091570817931e-17-1.6996640694471448e-17j)
191,(2.153538415153508e-16+3.239553410045036e-18j)
192,(-4.461123227758708e-16+2.0813363659247948e-17j)
193,(3.4297277955334343e-16+2.2836079313089674e-17j)
194,(5.166137875523926e-16-1.989820162677653e-17j)
195,(-4.484122608872105e-16-1.443005916425746e-16j)
196,(-5.281552208886587e-16+2.013790131405094e-17j)
197,(-6.026492893119306e-17-1.2595696463444285e-17j)
198,(1.986245867899328e-15-5.0094244766079e-17j)
199,(-7.101501007307977e-16+2.419797361755903e-17j)
200,(5.789294742203545e-17-6.528435413616403e-17j)
201,(-7.124820610342729e-16+1.5495346749936174e-16j)
202,(-7.554203242109489e-16-6.216751308785899e-17j)
203,(4.15417884858307e-17-2.5176099401990512e-17j)
