index, number
142,(6.371591738152564e-16-6.47087812847625e-17j)
143,(1.602433138137896e-15+3.668249633408515e-16j)
144,(-1.2372141586120571e-15+1.1112879041858452e-17j)
145,(-5.430469810077263e-15+1.0570587539915541e-16j)
146,(5.618858437884931e-17-8.357693862679523e-17j)
147,(-1.5144557171236279e-15+1.352525638702768e-16j)
148,(5.372441308851525e-15+3.4999357340897375e-17j)
149,(1.8664943068104027e-15-2.3900631151097297e-16j)
150,(-4.741630776054202e-15-1.275687560118846e-16j)
151,(1.1860559468833803e-15+4.922072703332704e-16j)
152,(1.922324227938793e-16-2.8678927392913523e-16j)
153,(-2.6325695449105236e-15-5.232890505845977e-18j)
154,(-9.88585514884655e-16-1.3719648506625989e-16j)
155,(3.1739333457855943e-15-6.684659490090732e-16j)
156,(2.534910619215795e-15-8.090217693993178e-17j)
157,(4.515785152521421e-15+5.895596669778719e-17j)
158,(3.641937647313952e-16+5.3213983079261405e-17j)
159,(-1.9741415880226052e-15+2.7458469946424812e-17j)
160,(1.7887344569407116e-15-2.5225605349386475e-16j)
161,(2.1461941451139347e-15-2.706063828082665e-16j)
162,(3.676842036354505e-15-8.027734499051854e-18j)
163,(-3.3338190118897214e-15+2.217537026128518e-16j)
164,(-2.6659845977025236e-16+3.8202890035719567e-17j)
165,(6.040020913597387e-16+5.1895408691250537e-17j)
166,(1.1172386401209693e-16+3.468961144802684e-17j)
167,(3.0050327904377458e-15-4.391614301750779e-16j)
168,(4.0637576131203186e-16-6.54477890204499e-17j)
169,(-2.92043231550349e-15+9.71251065432488e-17j)
170,(9.016935395696013e-16+7.309595322805372e-17j)
171,(-2.3210410702469515e-15+4.139841740453759e-17j)
172,(1.695014431949163e-15-1.197306267382226e-16j)
173,(2.5650948913923876e-15-7.49863064581286e-17j)
174,(-5.357478078484217e-16-9.793098795592043e-17j)
175,(3.041006052951355e-16+7.025262446219153e-17j)
176,(-1.2547895801159634e-15-5.63174253875343e-17j)
177,(-4.637528273732058e-16-1.9301948994665952e-16j)
178,(1.706352367183759e-14-2.752796327938685e-16j)
179,(-4.1347009664244536e-16-4.414172648170573e-17j)
180,(2.2530692800393305e-15-1.264098970569366e-16j)
181,(-5.861225311960584e-17-7.030545163847431e-17j)
182,(-6.1336082037968e-16-2.414925587263863e-16j)
183,(-5.298993671076136e-16-6.113408572811149e-17j)
184,(-2.371504037841474e-15+4.847227301441775e-17j)
185,(-1.1659947914395173e-15+3.946508228915595e-17j)
186,(-1.2924358833957678e-15-8.031132029745668e-18j)
187,(1.85879373877578e-15+4.0605026820982494e-16j)
188,(-7.812531391854751e-15-1.6824714153807844e-16j)
189,(1.1741461270320192e-14-2.1782622027038187e-17j)
190,(-3.383817767457071e-15-4.5275683143767747e-17j)
191,(3.000118339864778e-15-6.587660811369401e-17j)
192,(3.247731059777759e-16-3.1024201770153914e-16j)
193,(1.0389734245540867e-15+7.083041194321483e-17j)
194,(8.702532272110983e-15-7.055521926693373e-17j)
195,(-3.76991563936841e-15-1.6198291607760356e-16j)
196,(-1.779383325021772e-15-9.52836665309004e-16j)
197,(1.0664956717219195e-15-6.338008030729323e-17j)
198,(1.8525482772910272e-15+4.2277920571027644e-16j)
199,(-3.2798759843716107e-15-3.923488404755549e-16j)
200,(1.1875624032412487e-15+4.0202787265118184e-17j)
201,(-2.5631016766596094e-16-8.522163184204937e-18j)
202,(4.398710785687898e-15-2.150234929582169e-16j)
203,(1.2090031618041118e-15-3.327459862344622e-17j)
204,(-2.498631638837895e-15-3.3413951266840675e-16j)
205,(4.800909409817943e-15-3.104848883574058e-17j)
206,(1.0973437158860292e-15-5.578327656857139e-17j)
207,(2.6164541522005774e-15-4.330850805098602e-17j)
208,(3.852603195776363e-16+1.5261325553354527e-17j)
209,(1.6068830887918497e-15-7.122244849496936e-17j)
210,(3.5517094130197924e-17-3.0829846589359497e-17j)
211,(1.6459594260066967e-15+2.691296907840076e-17j)
212,(-2.592129083258973e-15-8.926315237054155e-18j)
213,(-2.735999603881813e-15+1.6085811492650233e-16j)
214,(5.849123055386284e-15-2.453898958519521e-16j)
215,(-6.649041876712296e-17-2.340022977039697e-16j)
216,(-6.047830725923056e-15+1.8966316606909367e-18j)
217,(-3.8453781138163415e-15-7.465006713177272e-17j)
218,(-6.484156348040258e-16-3.838711287453327e-16j)
219,(2.727119679861173e-16+1.0135081976648454e-16j)
220,(-1.6764881636290152e-16+6.01360233273992e-17j)
