index, number
495,(-55707.9981529268+0j)
496,(-55806.13308893389+0j)
497,(-55719.48389295454+0j)
498,(-55817.914987012744+0j)
499,(-55826.50830628887+0j)
500,(-55928.74549007615+0j)
501,(-56039.564329781024+0j)
502,(-56162.818235026105+0j)
503,(-56187.070633117815+0j)
504,(-56308.26376953862+0j)
505,(-56212.78697926968+0j)
506,(-56330.36217781369+0j)
507,(-56628.32613936786+0j)
508,(-56760.95802735747+0j)
509,(-58894.23930083254+0j)
510,(-59005.89688412417+0j)
511,(-59115.946019415234+0j)
512,(-59252.496757741465+0j)
513,(-59139.74208917364+0j)
514,(-59269.99573156085+0j)
515,(-59266.30051142422+0j)
516,(-59393.29201315477+0j)
517,(-59280.873307440335+0j)
518,(-59408.76555654166+0j)
519,(-59380.05376234507+0j)
520,(-59503.74062018123+0j)
521,(-59500.33375901548+0j)
522,(-59629.884516861974+0j)
523,(-59505.47858443979+0j)
524,(-59631.30572327593+0j)
525,(-59613.296123789456+0j)
526,(-59745.017354984695+0j)
527,(-59622.77627437495+0j)
528,(-59751.70670229057+0j)
529,(-59661.74604161327+0j)
530,(-59788.240474660706+0j)
531,(-59761.826299881766+0j)
532,(-59880.86179267798+0j)
533,(-60008.802303199365+0j)
534,(-60117.78712076624+0j)
535,(-60061.40931608446+0j)
536,(-60176.028809337135+0j)
537,(-60351.95876269854+0j)
538,(-60479.877625062974+0j)
539,(-60353.87606503243+0j)
540,(-60484.02970341345+0j)
541,(-60840.90954647919+0j)
542,(-60961.1562962795+0j)
543,(-61254.12218318308+0j)
544,(-61363.997263263416+0j)
545,(-61290.42365092251+0j)
546,(-61395.88563196182+0j)
547,(-61442.60436511991+0j)
548,(-61549.324462334844+0j)
549,(-61838.8219531055+0j)
550,(-61978.53560811568+0j)
551,(-61851.56165056084+0j)
552,(-61990.54884432382+0j)
553,(-61930.01805052891+0j)
554,(-62067.81706679305+0j)
555,(-62003.65406421993+0j)
556,(-62142.45287720913+0j)
557,(-62012.326438274555+0j)
558,(-62151.88337624505+0j)
559,(-62088.18329919965+0j)
560,(-62237.47752404271+0j)
561,(-62096.0561448823+0j)
562,(-62245.67626559698+0j)
563,(-62194.7407380831+0j)
564,(-62363.786160578165+0j)
565,(-62474.880629667845+0j)
566,(-62323.366881215785+0j)
567,(-62417.07942765308+0j)
568,(-62566.4256480153+0j)
569,(-62436.066913149225+0j)
570,(-62584.54276719024+0j)
571,(-62458.527276265915+0j)
572,(-62608.07636315412+0j)
573,(-62541.15459226501+0j)
574,(-62676.31181664193+0j)
575,(-62817.19164306977+0j)
576,(-62681.0496455683+0j)
577,(-62883.668413194435+0j)
578,(-63019.38354007144+0j)
579,(-62919.498783584044+0j)
580,(-63049.74859929489+0j)
581,(-62923.22687433372+0j)
582,(-63059.04668703335+0j)
583,(-62943.95624091413+0j)
584,(-63074.26056592934+0j)
585,(-62981.98618575049+0j)
586,(-63115.26210224873+0j)
587,(-63002.87635692002+0j)
588,(-63134.33774490621+0j)
589,(-63055.13903816112+0j)
590,(-63180.965480214+0j)
591,(-63091.52119217856+0j)
592,(-63222.871972676134+0j)
593,(-63098.9634731843+0j)
594,(-63229.963590959334+0j)
595,(-63124.87716407834+0j)
596,(-63258.07570263941+0j)
597,(-63263.908695067556+0j)
598,(-63405.5197015716+0j)
599,(-64121.999695610786+0j)
600,(-64254.97495542007+0j)
601,(-64182.695876310376+0j)
602,(-64330.00310901352+0j)
603,(-64488.62385000067+0j)
604,(-64628.09000935907+0j)
605,(-64547.48353364991+0j)
606,(-64693.48515676989+0j)
607,(-64575.90779452041+0j)
608,(-64722.201455975155+0j)
609,(-65415.949641888925+0j)
610,(-65538.14703388949+0j)
611,(-65763.41067171142+0j)
612,(-65908.83687820562+0j)
613,(-66696.74628700955+0j)
614,(-66826.6965141376+0j)
615,(-66726.96137223647+0j)
616,(-66865.9199755484+0j)
617,(-66760.23788786444+0j)
618,(-66900.771144356+0j)
619,(-66917.56511470018+0j)
620,(-67048.1574398824+0j)
621,(-66939.64430686379+0j)
622,(-67071.33763616478+0j)
623,(-67264.79479672419+0j)
624,(-67379.44880404521+0j)
625,(-67340.16199285194+0j)
626,(-67446.43255025343+0j)
627,(-67362.7706934985+0j)
628,(-67467.97814539152+0j)
629,(-67385.829840896+0j)
630,(-67489.11978249962+0j)
631,(-67408.08842810213+0j)
632,(-67507.82358287132+0j)
633,(-120746.76267436186+0j)
634,(-120886.26357455541+0j)
635,(-120748.83347496192+0j)
636,(-120890.68183329576+0j)
637,(-120773.29011836919+0j)
638,(-120913.18783437813+0j)
639,(-120895.74692551591+0j)
640,(-121030.09723452976+0j)
641,(-120924.33644504983+0j)
642,(-121056.3120716825+0j)
643,(-120954.18289936228+0j)
644,(-121084.67674713327+0j)
645,(-120991.21573760425+0j)
646,(-121123.19583578374+0j)
647,(-121008.3872366632+0j)
648,(-121138.7843218618+0j)
649,(-121103.85730646932+0j)
650,(-121236.58395478126+0j)
651,(-121110.49085396255+0j)
652,(-121239.91161402219+0j)
653,(-121118.57230263685+0j)
654,(-121247.52494182151+0j)
655,(-121124.4564541136+0j)
656,(-121252.95835309353+0j)
657,(-121124.98297484174+0j)
658,(-121256.89764867467+0j)
659,(-121189.19498610705+0j)
660,(-121322.90516043814+0j)
661,(-121287.65683103932+0j)
662,(-121440.50584638772+0j)
663,(-121292.16434492961+0j)
664,(-121444.34023902912+0j)
665,(-122046.13848605883+0j)
666,(-122197.73017632766+0j)
667,(-122130.88685108021+0j)
668,(-122280.862656237+0j)
669,(-122263.727690508+0j)
670,(-122412.33938811632+0j)
671,(-122278.13264406742+0j)
672,(-122425.96410919778+0j)
673,(-122304.36327010015+0j)
674,(-122450.69580830929+0j)
675,(-126551.13959361661+0j)
676,(-126627.95147410897+0j)
677,(-131877.97888283205+0j)
678,(-131894.88605143316+0j)
679,(-141668.5415088796+0j)
680,(-141855.2936243222+0j)
681,(-143439.8839950835+0j)
682,(-143601.1736654883+0j)
683,(-143540.04674388972+0j)
684,(-143698.99336890134+0j)
685,(-143565.5230328487+0j)
686,(-143727.86207756883+0j)
687,(-143758.97176163245+0j)
688,(-143918.87308771157+0j)
689,(-143802.99879545294+0j)
690,(-143965.23485998562+0j)
691,(-143807.53711653987+0j)
