,0
168,(-212.53098822662307+1.9091552131833726e-13j)
169,(-277.0839852865907+1.5845466928587618e-14j)
170,(-271.42041024710926-8.332468407385665e-14j)
171,(-223.51441382609508+2.0765298349264066e-13j)
172,(-234.0995715259224+1.2746911033586474e-13j)
173,(-242.9767973618683+1.857052657254755e-13j)
174,(-248.3477931383386-1.8329558022895765e-13j)
175,(-319.9644159548288-6.003637818063637e-14j)
176,(-312.3047956075549+2.2816815831778103e-15j)
177,(-216.32898857544512-2.3180578112198667e-13j)
178,(-219.78571767917344-2.6155258329723057e-13j)
179,(-227.10443294124178-3.060851019954846e-13j)
180,(-268.66402084666476-5.534994395495535e-14j)
181,(-231.1637922959121-1.5399924535501447e-13j)
182,(-233.98231434281305-1.3165141320965774e-13j)
183,(-238.57562676972768+2.4706680154149035e-14j)
184,(-255.9422467659377+8.630502843412746e-14j)
185,(-253.81986927101997+1.3547594517768271e-13j)
186,(-207.5647041422675+6.000493476210144e-14j)
187,(-300.6644268863612-3.344209662538922e-14j)
188,(-209.7179595846216-1.8957644283432278e-13j)
189,(-287.88551887217784+2.0657064659434168e-13j)
190,(-221.35485715422715+2.827628008537959e-13j)
191,(-225.81917579717114-2.3677174671617335e-13j)
192,(-226.36691086086526+6.602488789760636e-14j)
193,(-232.9193226927822+2.5802145763703944e-13j)
194,(-272.08112569624126-9.830489147999322e-15j)
195,(-268.41307228914087-8.386943785376994e-13j)
196,(-266.9144719374985+1.436012012417586e-12j)
197,(-308.2346342280683-1.0628066292740206e-13j)
198,(-208.32413709190612-3.8685759919145585e-14j)
199,(-284.3602886737759+2.0897872653415877e-13j)
200,(-281.6548801687302+2.4605339268633897e-13j)
201,(-278.23227302159705+3.6723194503733164e-13j)
202,(-223.19348845204465+8.325379019069134e-14j)
203,(-271.34407669253017-4.0368912098551787e-13j)
204,(-233.47937875606885+2.920482678297093e-13j)
205,(-263.98706842866477+8.298033325634744e-15j)
206,(-240.6179062658288+6.254615564671348e-14j)
