,0
191,(-1221.1410351434743+1.1157958855607585e-12j)
192,(-845.2311629934425-6.804748194455248e-13j)
193,(-1110.315572319034-8.020985815886184e-14j)
194,(-1083.3467473264932+5.387507927999813e-14j)
195,(-1054.8247336711931-8.481674447808279e-13j)
196,(-1037.802632843112+7.067446376851482e-13j)
197,(-992.444863496075+6.498238151621177e-13j)
198,(-864.358576135198+4.971545294695101e-13j)
199,(-874.671960240954-3.310402833158435e-12j)
200,(-884.5627404580043-1.0088451316883776e-12j)
201,(-1139.2321021398056+2.166284983304521e-12j)
202,(-914.5690105066512+6.010091287281343e-13j)
203,(-996.5746616409172+1.359943778568719e-13j)
204,(-1033.2714608230206+2.4147589027755774e-13j)
205,(-1289.5879280707045+1.85967192166403e-12j)
206,(-831.618361225428-1.8279113530486998e-13j)
207,(-1260.4011957236523+1.288677519766362e-13j)
208,(-855.4151220966423+2.6881982650321574e-13j)
209,(-1230.9952023856392+4.79983370243943e-13j)
210,(-886.9513709882826-9.69460549425182e-13j)
211,(-1201.860628176339-2.8955040200138257e-13j)
212,(-900.7516610990335+2.834706511912303e-12j)
213,(-1187.8159876541695-3.0888480667794195e-12j)
214,(-1168.025002398105-6.921661319620197e-13j)
215,(-931.3791751826204+5.599317153276797e-13j)
216,(-1016.2035591393097+1.1355984216661257e-12j)
217,(-1022.0729934604855-1.559287175564503e-12j)
218,(-1236.0106842517368+5.700699590762319e-13j)
219,(-824.2782026208121-7.866635961699615e-13j)
220,(-1143.7225829136064-1.27959271867817e-12j)
221,(-1126.672703751837-9.994427085777739e-13j)
222,(-1114.1749165650408+6.142573134377745e-13j)
223,(-887.0395284223982+5.393264181977839e-13j)
224,(-896.9478966865324+7.075257844712256e-13j)
225,(-1061.56415659578+1.535463251103547e-15j)
226,(-1030.4570924254288-3.1310721887951246e-13j)
227,(-979.7808130885377-5.000460059081002e-13j)
228,(-970.3412375203375+1.3966455365654254e-13j)
229,(-1298.1069061697365-1.0097767305416643e-12j)
230,(-1274.386475244497-7.757983032564976e-13j)
231,(-827.5464732606208+8.498566119859281e-13j)
232,(-847.5691597785371-2.814224233753589e-13j)
233,(-876.919815094743-5.948604158617339e-13j)
234,(-1141.4623303034507-1.5253434258610068e-13j)
235,(-902.7687344664698-1.0442164532504051e-12j)
236,(-927.3521685876136+7.362398705934288e-14j)
237,(-939.790393021477+4.1596249063972254e-13j)
238,(-959.2863838546825-1.8672890551959995e-13j)
239,(-977.1231126749417+5.891423270054703e-13j)
240,(-1036.6771406938337-2.0543496054043526e-13j)
241,(-1061.442775483433-8.885576742249542e-14j)
242,(-1234.859086639793-1.3642420526593924e-12j)
243,(-793.9381188825232+2.0402065335669243e-13j)
244,(-1195.5906108362499-1.7068178845423703e-12j)
245,(-842.6572293235376+4.4162428708729594e-13j)
246,(-1151.7972284782-3.5530615977734166e-13j)
247,(-1131.795279931408+2.0580445463618894e-14j)
248,(-904.9233642331731-8.823897453972722e-13j)
249,(-915.9435763490143+7.63364307396536e-13j)
250,(-1045.1410079411287+1.9988527221646625e-13j)
251,(-811.6408902169003+6.821210263296962e-13j)
252,(-844.6194116226235-3.136051633956782e-13j)
253,(-1165.3865834417597+2.5598109186752578e-12j)
254,(-1155.1924396635277+2.2425083990715538e-12j)
255,(-929.7512863434296-4.079211727035536e-13j)
256,(-952.6527473768342+8.578286134406681e-13j)
257,(-959.6590954337844-6.514979397394431e-13j)
258,(-1055.743752503685-3.3769787722393107e-13j)
259,(-1004.2013121809854-1.9526581742305176e-13j)
260,(-1241.188378716582+9.020562075079397e-15j)
261,(-1202.1961915196293+1.5157215760286391e-12j)
262,(-1198.965327317244-9.909635602722272e-13j)
263,(-837.2523026179191-1.0927921824305421e-12j)
264,(-1166.1304991229883-7.60954623270185e-13j)
265,(-863.949645942332+1.250240458500646e-13j)
266,(-870.3161891362752-7.564753354212241e-13j)
267,(-909.2443368950053+6.572690414900322e-13j)
268,(-936.5185997282488+7.927431496054435e-13j)
269,(-956.984832635851-4.2700464294202913e-13j)
270,(-1076.4717042228049+2.065767759210095e-13j)
271,(-1071.2168632847936-1.6687601607991592e-14j)
272,(-1044.627459817904+1.8686709882601585e-13j)
273,(-1003.8526697463989+1.1780447392815272e-13j)
274,(-1010.0013232283953-1.4555761590890324e-13j)
275,(-865.379235374578-5.240252676230739e-13j)
